Edgecode;Motif
244334;A116
244341;B214
244342;A109
244343;A117
244344;A118
244411;H027
244412;B051
244413;B116
244414;B189
244421;B095
244422;A031
244423;A061
244424;A101
244431;B160
244432;A093
244433;A119
244434;A120
244441;B241
244442;A121
244443;A122
244444;A123
311112;L002
311113;L003
311114;L005
311121;M002
311122;I002
311123;I006
311124;I016
311131;M004
311132;I004
311133;I008
311134;I017
311141;M006
311142;I014
311143;I015
311144;I018
311211;K002
311212;F003
311213;F004
311214;F012
311221;F005
311222;G002
311223;G008
311224;G014
311231;F006
311232;G009
311233;G005
311234;G019
311241;F019
311242;G021
311243;G023
311244;G026
311311;K003
311312;F007
311313;F008
311314;F022
311321;F007
311322;G003
311323;G010
311324;G030
311331;F008
311332;G010
311333;G006
311334;G034
311341;F022
311342;G030
311343;G034
311344;G038
311411;K005
311412;F015
311413;F024
311414;F026
311421;F017
311422;G028
311423;G032
311424;G036
311431;F021
311432;G029
311433;G033
311434;G037
311441;F023
311442;G031
311443;G035
311444;G039
312111;M003
312112;F002
312113;F004
312114;F010
312121;D002
312122;C003
312123;C007
312124;C024
312131;D003
312132;C011
312133;C015
312134;C025
312141;D006
312142;C022
312143;C023
312144;C026
312211;J002
312212;E002
312213;E003
312214;E031
312221;C002
312222;B017
312223;B020
312224;B136
312231;C004
312232;B021
312233;B018
312234;B145
312241;C055
312242;B108
312243;B127
312244;B154
312311;J004
312312;E009
312313;E010
312314;E034
312321;C006
312322;B026
312323;B025
312324;B139
312331;C012
312332;B024
312333;B027
312334;B148
312341;C058
312342;B111
312343;B130
312344;B157
312411;J018
312412;E014
312413;E028
312414;E037
312421;C044
312422;B100
312423;B119
312424;B142
312431;C052
312432;B105
312433;B124
312434;B151
312441;C061
312442;B114
312443;B133
312444;B160
313111;M004
313112;F006
313113;F008
313114;F021
313121;D003
313122;C004
313123;C012
313124;C052
313131;D004
313132;C008
313133;C016
313134;C053
313141;D009
313142;C050
313143;C051
313144;C054
313211;J006
313212;E008
313213;E010
313214;E032
313221;C010
313222;B030
313223;B029
313224;B137
313231;C008
313232;B032
313233;B031
313234;B146
313241;C056
313242;B109
313243;B128
313244;B155
313311;J008
313312;E005
